entity_id,state,last_changed
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:54:57.929Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:56:27.029Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:56:46.858Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:05:31.831Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:06:01.514Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:06:11.493Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:06:21.425Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:09:29.455Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:11:58.050Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:12:37.685Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:13:47.036Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:15:25.975Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:16:05.594Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:18:14.457Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:19:53.335Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:23:11.458Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:23:31.166Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:27:48.640Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:29:27.803Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:33:25.521Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:35:44.062Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:35:53.976Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:36:43.567Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:40:11.483Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T06:40:41.231Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T06:48:06.887Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T07:02:18.662Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T07:02:38.435Z
